telescope,z_low,z_high,z_mid,z_obs_low,z_obs_high,z_effective,coverage_fraction,var_noise_mK2,rms_noise_mK,supported_mode_fraction,effective_mode_count,status,kperp_min_envelope_Mpc_inv,kperp_max_envelope_Mpc_inv,kpar_min_Mpc_inv,kpar_min_lattice_Mpc_inv,k_max_Mpc_inv,voxel_side_Mpc,t_obs_hours,baseline_source,variance_estimator
hirax_interferom,0.8527075,0.8627075,0.8577075,0.8527075,0.8627075,0.8577173156412453,1.0,0.017710491143483956,0.13308076924741588,0.9885431836157141,68992237.81856671,ok,0.03162088367380498,0.3629921473139158,0.002387674272684084,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,0.8627075,0.8727075,0.8677075,0.8627075,0.8727075,0.8677171029459303,1.0,0.018174212069379796,0.13481176532254074,0.9889948032257181,69023757.17761278,ok,0.03117462927684321,0.3629922207420966,0.0023764849507277087,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,0.8727075,0.8827075,0.8777075,0.8727075,0.8827075,0.8777168956827924,1.0,0.01863974663752278,0.13652745744912553,0.9892418441194665,69040998.61367232,ok,0.03073955156550169,0.3629922927264056,0.002365464273134978,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,0.8827075,0.8927075,0.8877075,0.8827075,0.8927075,0.8877166936695573,1.0,0.019111483077835025,0.1382442876860922,0.9894749487787076,69057267.41442227,ok,0.030315254564476646,0.3629923633071302,0.0023546083972462604,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,0.8927075,0.9027075,0.8977075,0.8927075,0.9027075,0.897716496731826,1.0,0.019594101560138768,0.13997893255822022,0.9898826457393964,69085721.33139418,ok,0.029901360359590623,0.36299243252316626,0.0023439135894027384,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,0.9027075,0.9127075,0.9077075,0.9027075,0.9127075,0.9077163047027712,1.0,0.02007823413421724,0.1416976857052268,0.9900862664778458,69099932.3953565,ok,0.02949750808992438,0.3629925004120741,0.002333376221353968,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,0.9127075,0.9227075,0.9177075,0.9127075,0.9227075,0.9177161174224677,1.0,0.020568942735156664,0.1434187670256465,0.9902903295307363,69114174.32925312,ok,0.029103353008628166,0.36299256701013227,0.0023229927667994363,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,0.9227075,0.9327075,0.9277075,0.9227075,0.9327075,0.9277159347377503,1.0,0.021068528348478336,0.14515002014632425,0.9905813017336496,69134481.81177357,ok,0.028718565604915397,0.36299263235238877,0.0023127597980572745,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,0.9327075,0.9427075,0.9377075,0.9327075,0.9427075,0.9377157565018329,1.0,0.02157443049228596,0.14688236957608616,0.9908578486836004,69153782.52949156,ok,0.02834283078030144,0.3629926964727096,0.0023026739828561705,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,0.9427075,0.9527075,0.9477075,0.9427075,0.9527075,0.9477155825738426,1.0,0.02208664417068628,0.14861576016925757,0.9911198806997812,69172070.2234194,ok,0.02797584708020698,0.3629927594038256,0.0022927320812448078,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
