param,sigma_ana_full,sigma_ana_full_cmb,sigma_ana_common,sigma_ana_common_cmb,sigma_ana_mock,sigma_ana_mock_cmb
lnA,0.07188379681959953,0.008534697101798069,0.07317400141697752,0.008549341550629901,0.07317426031430257,0.008549346238605635
Omega_m,0.03086273893392966,0.003353099745069144,0.033196003756307685,0.003454557451442418,0.03319609116653814,0.0034545598638495633
omega_b,0.002065951053115762,0.00027107647774071903,0.0020948299760724016,0.0002790315306338336,0.0020948370652848452,0.00027903170941293406
omega_cdm,0.009434899136129635,0.001514714204576934,0.009637253581155771,0.001553949314030777,0.0096372852783027,0.001553950335481968
n_s,0.06665133080371997,0.002106120234485966,0.07050010777860387,0.002106519508344814,0.07050029108330866,0.0021065195355611144
w0,1.0915688494856195,0.01067215205817138,1.3948233444671745,0.010789308249734595,1.3948266976116221,0.010789310069208061
f_NL,441.18871763140027,5.099279134269006,472.45814065888203,5.099323294136995,472.45975616487567,5.099323298291613
