param,sigma_ana_full,sigma_ana_full_cmb,sigma_ana_common,sigma_ana_common_cmb,sigma_ana_mock,sigma_ana_mock_cmb
lnA,0.003374721835370968,0.0019875688848862705,0.0033861450651309043,0.0019906757264129588,0.0033862209173632415,0.001990694042168503
Omega_m,0.0022854845146518623,0.0004918708382386101,0.0022909621476248,0.0004926328305373098,0.0022910597731184675,0.0004926432334198658
omega_b,0.0001018525270728755,7.252199268104303e-05,0.00010209823303219513,7.262518079707543e-05,0.00010210070600303258,7.26264345785974e-05
omega_cdm,0.0004572574170049169,0.00028022043950378615,0.0004583741470607749,0.00028060101108686136,0.00045838513826109757,0.0002806047045944647
n_s,0.00289538920128022,0.001542005145043426,0.002902216072220098,0.0015431624671403447,0.0029022819579324695,0.0015431793988496714
w0,0.08955270920093206,0.0071106917322424495,0.08969150703768836,0.007118080883818999,0.0896941936590156,0.007118144440060859
f_NL,8.794740993816026,4.030618807326222,8.917801882698798,4.043968856683336,8.91804468240828,4.044010346390591
