param,sigma_ana_full,sigma_ana_full_cmb,sigma_ana_common,sigma_ana_common_cmb,sigma_ana_mock,sigma_ana_mock_cmb
lnA,0.004102829102275006,0.0021891607853708503,0.0041147845568811695,0.0021926337233482427,0.004114909126791628,0.0021926618255177495
Omega_m,0.0019286664117759372,0.000449928142959266,0.0019301537192602687,0.0004505655768768998,0.0019302292436487833,0.0004505776305002932
omega_b,0.00010491601461472627,6.761276692564308e-05,0.00010516292898183356,6.769169692482392e-05,0.00010516631305445271,6.769320016709269e-05
omega_cdm,0.0004905718039971314,0.0002851457433351961,0.0004918044299048926,0.0002855370488010922,0.0004918198279849035,0.0002855419320877462
n_s,0.002973887571783916,0.0015324320787100862,0.0029795057513178646,0.0015332640071024175,0.0029796054706203697,0.001533288548311286
w0,0.0794562140500208,0.0068563623329506666,0.07960373151557763,0.006862522334415864,0.07960658507625036,0.00686261323691291
f_NL,10.087496159696398,4.2518265424290345,10.151623241642628,4.257167015940566,10.151960723049706,4.25720925044276
