param,sigma_ana_full,sigma_ana_full_cmb,sigma_ana_common,sigma_ana_common_cmb,sigma_ana_mock,sigma_ana_mock_cmb
lnA,0.006666128453916836,0.0030954678821773357,0.006694074952767942,0.0031111275627720546,0.006694494156463034,0.0031112364405127854
Omega_m,0.0015064385829640285,0.000625348417031635,0.0015262536765815505,0.0006291945229872256,0.0015263456001627174,0.0006292324066929337
omega_b,0.00017145794871708213,7.268651929077462e-05,0.00017200700699878695,7.345388378100013e-05,0.00017201864408669123,7.345703672688135e-05
omega_cdm,0.0007205509658292286,0.0003996849347672274,0.0007240413573242937,0.0004010949944169738,0.0007240867667510874,0.0004011117444329996
n_s,0.003469285260788314,0.0015428131207577862,0.0034985005993391793,0.0015468560960960505,0.0034986976106405887,0.0015469042992440102
w0,0.07261701715919212,0.00681860457805321,0.07469800550241866,0.006888308739164132,0.07470292318580085,0.006888489735629119
f_NL,30.118001123339024,4.933307007361597,30.571430974659435,4.9349999091024435,30.57338707922734,4.935016870293335
