param,sigma_ana_full,sigma_ana_full_cmb,sigma_ana_common,sigma_ana_common_cmb,sigma_ana_mock,sigma_ana_mock_cmb
lnA,0.018797157005129128,0.00502466599778502,0.01923492527669681,0.005079944836170815,0.019234953075076496,0.0050799482547109545
Omega_m,0.012028017742421234,0.0018277187428459602,0.012830165115157584,0.0019144078639605799,0.012830183007162611,0.0019144095501010053
omega_b,0.0006443894645652966,0.0001702443440275583,0.0006516807650885878,0.00017673447346996037,0.0006516818123071271,0.0001767345854857122
omega_cdm,0.0020366222818697446,0.0008430378732496133,0.0020864430479330966,0.0008730519405727249,0.002086445402203202,0.000873052656441875
n_s,0.009079645833370887,0.0020347024901458794,0.009184639261234093,0.0020375468414032994,0.009184642334839678,0.002037546903109032
w0,0.29660489218494335,0.009944123578746827,0.39452655871012665,0.01005267475584803,0.39452703402089706,0.010052675667973496
f_NL,38.12411498397138,5.029231125149732,40.550884168092246,5.035584975383686,40.55093345844192,5.035585078883848
