telescope,z_low,z_high,z_mid,z_obs_low,z_obs_high,z_effective,coverage_fraction,var_noise_mK2,rms_noise_mK,supported_mode_fraction,effective_mode_count,status,kperp_min_envelope_Mpc_inv,kperp_max_envelope_Mpc_inv,kpar_min_Mpc_inv,kpar_min_lattice_Mpc_inv,k_max_Mpc_inv,voxel_side_Mpc,t_obs_hours,baseline_source,variance_estimator
hirax_interferom,0.8227075,0.8727075,0.8477075000000001,0.8227075,0.8727075,0.8479583732446776,1.0,0.032899259814811746,0.18138153107417454,0.9945801120910457,222853966.43142036,ok,0.03206756333127333,0.5349946223543903,0.002398760488924317,0.002834135452558472,0.535,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,0.8727075,0.9227075,0.8977075,0.8727075,0.9227075,0.8979324417177809,1.0,0.037339979325066795,0.19323555398804537,0.9952884733173564,223012687.79235494,ok,0.029892534385114276,0.5349948664646246,0.002343684385424747,0.002834135452558472,0.535,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,0.9227075,0.9727075000000001,0.9477075,0.9227075,0.9727075000000001,0.9479095864426681,1.0,0.04208698068379325,0.20515111670130692,0.9958773982889397,223144647.26374626,ok,0.027968811927140572,0.5349950880686501,0.0022925406031768483,0.002834135452558472,0.535,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,0.9727075000000001,1.0227075,0.9977075000000001,0.9727075000000001,1.0227075,0.997889345743962,1.0,0.04714696470509768,0.21713351815207546,0.9963803552391004,223257344.01881403,ok,0.026256862673660366,0.5349952900392994,0.0022449133092195405,0.002834135452558472,0.535,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.0227075,1.0727075,1.0477075,1.0227075,1.0727075,1.047871343582846,1.0,0.05252350223311946,0.22918006508664635,0.9967758371534337,223345959.01542372,ok,0.02472487050452639,0.5349954748046378,0.00220044053774423,0.002834135452558472,0.535,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.0727075,1.1227075,1.0977074999999998,1.0727075,1.1227075,1.0978552705242035,1.0,0.05822946594778598,0.24130782405008336,0.9971380558333127,223427120.77257663,ok,0.0233469607221259,0.5349956444268839,0.0021588062125353514,0.002834135452558472,0.535,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.1227075,1.1727075,1.1477075,1.1227075,1.1727075,1.1478408696130291,1.0,0.06426728720850311,0.25350993512780345,0.9974131151372279,223488752.8685095,ok,0.022101890301558864,0.5349958006657513,0.0021197334765827285,0.002834135452558472,0.535,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.1727075,1.2227075,1.1977075,1.1727075,1.2227075,1.197827925731991,1.0,0.0706539819613412,0.26580816759712483,0.9976814263720107,223548872.93544284,ok,0.020972067876616207,0.5349959450295712,0.0020829790964203483,0.002834135452558472,0.535,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.2227075,1.2727075,1.2477075000000002,1.2227075,1.2727075,1.2478162574702656,1.0,0.07739885086350579,0.2782064896142895,0.9979298820092896,223604543.99057126,ok,0.01994281083657421,0.5349960788167701,0.0020483287529715344,0.002834135452558472,0.535,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.2727075,1.3227075,1.2977075,1.2727075,1.3227075,1.297805710832105,1.0,0.08450520000756961,0.29069778122230244,0.9981040672685165,223643573.4015163,ok,0.019001775444157498,0.5349962031496973,0.0020155930660284553,0.002834135452558472,0.535,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.3227075,1.3727075000000002,1.3477075,1.3227075,1.3727075000000002,1.347796154311994,1.0,0.09199841505011606,0.3033124050382972,0.9982986542295302,223687174.18897486,ok,0.018138514903887525,0.534996319002345,0.0019846042278073303,0.002834135452558472,0.535,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.3727075000000002,1.4227075,1.3977075,1.3727075000000002,1.4227075,1.3977874749995587,1.0,0.09987397008118296,0.3160284323936423,0.9983993547847413,223709738.00045446,ok,0.01734413321858001,0.5349964272231754,0.001955213143761497,0.002834135452558472,0.535,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
