telescope,z,increment_Mpc_inv,cutoff_min,cutoff_max,variance_mK2,rms_mK,variance_ratio,mode_count,mode_ratio,status
ska_mid1_interferom,0.3563869481730751,0.0,0.22533159252466312,0.22842938350462785,0.019794946260032822,0.14069451396565832,1.0,33137106.920270875,1.0,ok
ska_mid1_interferom,0.3563869481730751,0.01,0.23533159252466312,0.23842938350462786,0.01941691474097878,0.1393445899236091,0.9809026246351923,32689822.467186783,0.9865020065221664,ok
ska_mid1_interferom,0.3563869481730751,0.02,0.2453315925246631,0.24842938350462784,0.018706753783265036,0.1367726353598008,0.945026752663385,31817495.228272904,0.9601772208064812,ok
ska_mid1_interferom,0.3563869481730751,0.03,0.2553315925246631,0.25842938350462785,0.017774002723192416,0.1333191761270389,0.8979060862155098,30624075.962946326,0.9241626324419028,ok
ska_mid1_interferom,0.3650037837364613,0.0,0.2186145612545524,0.22269164087484958,0.022120927464400055,0.1487310574977535,1.0,34872993.48298894,1.0,ok
ska_mid1_interferom,0.3650037837364613,0.01,0.2286145612545524,0.2326916408748496,0.021733549190483793,0.14742302801965435,0.9824881540550375,34446395.16995346,0.9877670864921999,ok
ska_mid1_interferom,0.3650037837364613,0.02,0.23861456125455238,0.24269164087484957,0.021001353345076544,0.14491843687080172,0.9493884638822093,33609840.28326953,0.963778469424038,ok
ska_mid1_interferom,0.3650037837364613,0.03,0.2486145612545524,0.2526916408748496,0.020036196536627013,0.14154927246943735,0.9057575261648468,32462039.490046374,0.9308647250452237,ok
ska_mid1_interferom,0.3750025448430996,0.0,0.21186465790946077,0.21573430873730606,0.024963295601383745,0.15799777087473021,1.0,36755666.84965422,1.0,ok
ska_mid1_interferom,0.3750025448430996,0.01,0.22186465790946078,0.22573430873730607,0.02456622602698188,0.15673616693980327,0.9840938640177038,36352017.69935128,0.9890180430692761,ok
ska_mid1_interferom,0.3750025448430996,0.02,0.23186465790946076,0.23573430873730605,0.023808970889612938,0.15430155828640532,0.9537591217841116,35553970.58906661,0.9673058234665408,ok
ska_mid1_interferom,0.3750025448430996,0.03,0.24186465790946077,0.24573430873730606,0.022807184813259614,0.15102047812551653,0.9136287602985955,34455823.35779508,0.9374288731784831,ok
ska_mid1_interferom,0.3850013702336446,0.0,0.2054894791089082,0.2091315444689748,0.02801511157093364,0.16737715367078518,1.0,38553376.869990185,1.0,ok
ska_mid1_interferom,0.3850013702336446,0.01,0.2154894791089082,0.21913154446897481,0.02759963150391067,0.16613136821175786,0.9851694302208654,38162423.169335246,0.9898594174519831,ok
ska_mid1_interferom,0.3850013702336446,0.02,0.22548947910890818,0.2291315444689748,0.026814022626185915,0.16374987824785067,0.9571271047160889,37396331.063679725,0.9699884705245858,ok
ska_mid1_interferom,0.3850013702336446,0.03,0.2354894791089082,0.2391315444689748,0.025773265154882465,0.1605405405337931,0.9199772447675295,36341362.61361271,0.9426246301630896,ok
ska_mid1_interferom,0.3950002550884818,0.0,0.19942427894761444,0.20290311838302758,0.031207509678177505,0.17665647363789844,1.0,40197846.028579354,1.0,ok
ska_mid1_interferom,0.3950002550884818,0.01,0.20942427894761445,0.21290311838302758,0.030781247207227865,0.17544585263615628,0.9863410289592023,39825340.76320374,0.9907332033385378,ok
ska_mid1_interferom,0.3950002550884818,0.02,0.21942427894761443,0.22290311838302757,0.029970436688304312,0.17311971779177643,0.9603597658823049,39091408.70343643,0.9724752086378885,ok
ska_mid1_interferom,0.3950002550884818,0.03,0.22942427894761444,0.23290311838302757,0.028895611793686896,0.1699870930208729,0.9259185398536541,38080741.836488485,0.9473328946385416,ok
ska_mid1_interferom,0.4049991950622724,0.0,0.1937085451417958,0.19699280236130984,0.034566377287417495,0.18592035199896081,1.0,41737261.657579854,1.0,ok
ska_mid1_interferom,0.4049991950622724,0.01,0.20370854514179582,0.20699280236130985,0.03412734799164062,0.18473588712440422,0.9872989497242834,41379933.29293159,0.991438624613664,ok
ska_mid1_interferom,0.4049991950622724,0.02,0.2137085451417958,0.21699280236130983,0.03329198526335433,0.18246091434429,0.9631320339569672,40676062.24960029,0.9745742924706983,ok
ska_mid1_interferom,0.4049991950622724,0.03,0.2237085451417958,0.22699280236130984,0.03218077617820993,0.17939001136688165,0.9309849253402684,39703968.63356814,0.951283506793205,ok
ska_mid1_interferom,0.4149981862267459,0.0,0.1882407933537639,0.1913671134717353,0.038099169693173486,0.19519008605247729,1.0,43188548.28521317,1.0,ok
ska_mid1_interferom,0.4149981862267459,0.01,0.1982407933537639,0.2013671134717353,0.037645860682677126,0.19402541246619506,0.9881018664147533,42844177.01222606,0.9920263290464658,ok
ska_mid1_interferom,0.4149981862267459,0.02,0.2082407933537639,0.21136711347173529,0.03678496459624504,0.19179406819879766,0.9655056761732023,42167317.63776747,0.9763541334915545,ok
ska_mid1_interferom,0.4149981862267459,0.03,0.2182407933537639,0.2213671134717353,0.035639195521068506,0.18878346199036744,0.935432341651641,41232536.67428924,0.9547099476924621,ok
ska_mid1_interferom,0.4249972250217319,0.0,0.18309260833456284,0.1860950399825572,0.041737743175700955,0.20429817222799854,1.0,44501310.394770265,1.0,ok
ska_mid1_interferom,0.4249972250217319,0.01,0.19309260833456285,0.1960950399825572,0.04127712143334033,0.20316771749798324,0.9889639039556697,44173754.76210749,0.9926394160136627,ok
ska_mid1_interferom,0.4249972250217319,0.02,0.20309260833456283,0.20609503998255718,0.04039457138065993,0.20098400777340453,0.9678187728218377,43524507.5373372,0.978050020352932,ok
ska_mid1_interferom,0.4249972250217319,0.03,0.21309260833456284,0.2160950399825572,0.03921653412484763,0.19803164930093278,0.9395940254785713,42625661.80827725,0.9578518347020757,ok
ska_mid1_interferom,0.4349963082127737,0.0,0.17812828788983429,0.1809468423066792,0.045577890797296954,0.21348979085028152,1.0,45764222.66648588,1.0,ok
ska_mid1_interferom,0.4349963082127737,0.01,0.1881282878898343,0.19094684230667922,0.04510816929278723,0.2123868387937144,0.9896940929847157,45451030.75672713,0.9931564027200639,ok
ska_mid1_interferom,0.4349963082127737,0.02,0.19812828788983428,0.2009468423066792,0.044203716356088905,0.21024679868214144,0.9698499773208122,44827400.82600261,0.9795293837434865,ok
ska_mid1_interferom,0.4349963082127737,0.03,0.20812828788983428,0.2109468423066792,0.042992839001149113,0.20734714611286337,0.9432827682253969,43961823.646277994,0.9606155438639664,ok
ska_mid1_interferom,0.4449954328546551,0.0,0.17343890132872675,0.17610452024487014,0.049583081705930135,0.22267258858227282,1.0,46944220.61760731,1.0,ok
ska_mid1_interferom,0.4449954328546551,0.01,0.18343890132872676,0.18610452024487015,0.04910035618996916,0.22158600179155985,0.99026430993491,46641746.340056166,0.9935567302306496,ok
ska_mid1_interferom,0.4449954328546551,0.02,0.19343890132872674,0.19610452024487013,0.048172344787403495,0.2194819919433107,0.9715480185984907,46040611.502943404,0.9807514300423812,ok
ska_mid1_interferom,0.4449954328546551,0.03,0.20343890132872675,0.20610452024487014,0.046928506035899244,0.2166298826014067,0.9464620677315947,45205626.804064944,0.9629646889293487,ok
ska_mid1_interferom,0.4549945962595065,0.0,0.16894038715616375,0.17149447063934112,0.053763940255056736,0.23187052476556122,1.0,48051087.73916202,1.0,ok
ska_mid1_interferom,0.4549945962595065,0.01,0.17894038715616375,0.18149447063934113,0.05326944547638297,0.23080174495957126,0.9908024825500535,47759380.073485956,0.99392921826745,ok
ska_mid1_interferom,0.4549945962595065,0.02,0.18894038715616374,0.1914944706393411,0.052319112880493394,0.22873371609907753,0.9731264604545525,47179978.349767655,0.9818711827269541,ok
ska_mid1_interferom,0.4549945962595065,0.03,0.19894038715616374,0.20149447063934112,0.05104161985315727,0.2259239249242038,0.9493653108573377,46373137.5223982,0.9650798702857194,ok
ska_mid1_interferom,0.4649937959692968,0.0,0.16466058685526863,0.1670998667943483,0.05810272946396731,0.24104507765969274,1.0,49074977.58753033,1.0,ok
ska_mid1_interferom,0.4649937959692968,0.01,0.17466058685526864,0.1770998667943483,0.05759945260237682,0.23999885958557557,0.991338154571506,48794924.335921116,0.9942933595617093,ok
ska_mid1_interferom,0.4649937959692968,0.02,0.18466058685526862,0.18709986679434829,0.05662810871492771,0.23796661260548235,0.9746204565147996,48236482.935091406,0.9829140084487378,ok
ska_mid1_interferom,0.4649937959692968,0.03,0.19466058685526863,0.1970998667943483,0.05531982285595454,0.23520166422870936,0.9521036854260246,47457544.893305205,0.967041600959669,ok
ska_mid1_interferom,0.4749930297314835,0.0,0.1605732209326035,0.16291349175367809,0.06261106604660684,0.25022203349546746,1.0,50031927.10707627,1.0,ok
ska_mid1_interferom,0.4749930297314835,0.01,0.17057322093260352,0.1729134917536781,0.062099360566138614,0.2491974329043913,0.9918272357782997,49762851.89429347,0.9946219298687629,ok
ska_mid1_interferom,0.4749930297314835,0.02,0.1805732209326035,0.18291349175367808,0.06110839852353137,0.24720112969711802,0.9759999690476936,49224639.44848138,0.9838645499929042,ok
ska_mid1_interferom,0.4749930297314835,0.03,0.1905732209326035,0.19291349175367808,0.05976980720183536,0.24447864365182362,0.9546205004294851,48472035.354770064,0.968822073373912,ok
ska_mid1_interferom,0.4849922954780549,0.0,0.15666130747321705,0.15889493909329047,0.06729465497391912,0.2594121334361967,1.0,50934030.30885906,1.0,ok
ska_mid1_interferom,0.4849922954780549,0.01,0.16666130747321706,0.16889493909329048,0.06677533251088028,0.25840923456966525,0.9922828571862042,50675643.78239449,0.994927035522268,ok
ska_mid1_interferom,0.4849922954780549,0.02,0.17666130747321704,0.17889493909329046,0.0657634639573415,0.2564438807172858,0.9772464690223756,50155744.71101451,0.9847197326988439,ok
ska_mid1_interferom,0.4849922954780549,0.03,0.18666130747321705,0.18889493909329047,0.0643955215728948,0.25376272691806967,0.956918816180157,49428300.41140762,0.9704376447667534,ok
ska_mid1_interferom,0.4949915913066636,0.0,0.15292517986676105,0.1550572575049074,0.07216319455475481,0.26863208027850066,1.0,51792697.51104042,1.0,ok
ska_mid1_interferom,0.4949915913066636,0.01,0.16292517986676106,0.1650572575049074,0.0716312708982251,0.26764018924336663,0.9926288787544445,51541916.69118041,0.9951579888302486,ok
ska_mid1_interferom,0.4949915913066636,0.02,0.17292517986676104,0.1750572575049074,0.07059745349469151,0.26570181311893887,0.9783027751234701,51038624.63190571,0.9854405559978032,ok
ska_mid1_interferom,0.4949915913066636,0.03,0.18292517986676105,0.1850572575049074,0.0691982105844226,0.26305552756865347,0.9589127949694288,50333776.350675866,0.9718315277930144,ok
ska_mid1_interferom,0.5049909154645286,0.0,0.14933097082747024,0.15136114248477672,0.07718838282834126,0.2778279734446142,1.0,52595574.76314665,1.0,ok
ska_mid1_interferom,0.5049909154645286,0.01,0.15933097082747025,0.16136114248477673,0.07664648374599528,0.2768510136264545,0.9929795253833585,52353106.94121282,0.9953899577478574,ok
ska_mid1_interferom,0.5049909154645286,0.02,0.16933097082747023,0.1713611424847767,0.07559274930695457,0.2749413561233642,0.9793280612584513,51866362.25881575,0.9861354779824205,ok
ska_mid1_interferom,0.5049909154645286,0.03,0.17933097082747024,0.18136114248477672,0.07416451872358766,0.27233163371813357,0.9608248807145195,51183879.97350481,0.973159437918511,ok
ska_mid1_interferom,0.5149902663335991,0.0,0.1458822875172227,0.14783758980835768,0.08236712639632189,0.2869967358635319,1.0,53343212.58022775,1.0,ok
ska_mid1_interferom,0.5149902663335991,0.01,0.15588228751722272,0.1578375898083577,0.08181831650125584,0.28603901220158034,0.9933370275366247,53109869.97991474,0.9956256365331941,ok
ska_mid1_interferom,0.5149902663335991,0.02,0.1658822875172227,0.16783758980835767,0.08074560082907607,0.2841577041522472,0.9803134376760505,52639075.47805472,0.9867998744711145,ok
ska_mid1_interferom,0.5149902663335991,0.03,0.1758822875172227,0.17783758980835768,0.07928750263144468,0.2815803662037619,0.9626110087893667,51977199.28593069,0.9743919942533911,ok
ska_mid1_interferom,0.5249896424181375,0.0,0.14258968941066466,0.144457527105513,0.08773706033846643,0.2962044232256946,1.0,54056797.29798575,1.0,ok
ska_mid1_interferom,0.5249896424181375,0.01,0.15258968941066467,0.154457527105513,0.0871772610914134,0.2952579568638471,0.9936195805410681,53830334.265147164,0.9958106465022296,ok
ska_mid1_interferom,0.5249896424181375,0.02,0.16258968941066465,0.16445752710551298,0.08608482502362086,0.29340215579238826,0.9811683305951706,53374212.35205236,0.9873728193298121,ok
ska_mid1_interferom,0.5249896424181375,0.03,0.17258968941066466,0.174457527105513,0.08459778533990077,0.2908569843409313,0.9642195101311217,52732169.88263658,0.9754956364128045,ok
ska_mid1_interferom,0.5349890423328459,0.0,0.13939942347342596,0.14122414773912925,0.09326859041654909,0.3053990674781917,1.0,54722021.06376678,1.0,ok
ska_mid1_interferom,0.5349890423328459,0.01,0.14939942347342597,0.15122414773912926,0.09270044645917137,0.3044674801340389,0.9939085178103335,54503065.59829773,0.9959987686636446,ok
ska_mid1_interferom,0.5349890423328459,0.02,0.15939942347342595,0.16122414773912924,0.09158952212822949,0.3026376085819961,0.9819974947533712,54061253.09405598,0.9879250079425829,ok
ska_mid1_interferom,0.5349890423328459,0.03,0.16939942347342596,0.17122414773912925,0.0900754054141583,0.30012564937732045,0.9657635546100823,53438676.69381234,0.9765479354562038,ok
ska_mid1_interferom,0.5449884647932806,0.0,0.13636285972501458,0.1381259462198605,0.09895654080025465,0.31457358566836896,1.0,55343865.93135948,1.0,ok
ska_mid1_interferom,0.5449884647932806,0.01,0.1463628597250146,0.1481259462198605,0.09838138899414245,0.3136580765645011,0.994187834361822,55132447.984304786,0.996179920872949,ok
ska_mid1_interferom,0.5449884647932806,0.02,0.15636285972501457,0.15812594621986048,0.09725315057526744,0.31185437398771154,0.9827864817099303,54704536.7245937,0.9884480566001893,ok
ska_mid1_interferom,0.5449884647932806,0.03,0.16636285972501458,0.1681259462198605,0.09570927413079261,0.3093691551056644,0.9671849213482846,54099225.090446725,0.9775107716100566,ok
ska_mid1_interferom,0.5549879086062155,0.0,0.13342277744352135,0.1351276433423599,0.10478342194876802,0.3237026752264615,1.0,55939650.106223345,1.0,ok
ska_mid1_interferom,0.5549879086062155,0.01,0.14342277744352136,0.14512764334235992,0.10420127990006095,0.32280223032076616,0.9944443306213868,55735366.609163105,0.9963481448905682,ok
ska_mid1_interferom,0.5549879086062155,0.02,0.15342277744352134,0.1551276433423599,0.10305393893097997,0.32102015346544827,0.9834946885144327,55319978.666972116,0.9889225006221072,ok
ska_mid1_interferom,0.5549879086062155,0.03,0.16342277744352135,0.1651276433423599,0.10148223582233329,0.31856276590702387,0.9684951487073137,54731813.47215003,0.9784082197192909,ok
ska_mid1_interferom,0.5649873726621528,0.0,0.13058569351120292,0.13223603454818234,0.11068977482614532,0.332700728622805,1.0,56503295.606798165,1.0,ok
ska_mid1_interferom,0.5649873726621528,0.01,0.14058569351120292,0.14223603454818234,0.11009902364299551,0.3318117292125092,0.9946630013108466,56305183.70118795,0.9964937991052972,ok
ska_mid1_interferom,0.5649873726621528,0.02,0.1505856935112029,0.15223603454818233,0.10893392775508923,0.33005140168629676,0.9841372242936268,55902109.348200254,0.9893601558609693,ok
ska_mid1_interferom,0.5649873726621528,0.03,0.16058569351120291,0.16223603454818233,0.10733604486417127,0.3276218015703034,0.9697015377685826,55330786.002293825,0.979248828021223,ok
ska_mid1_interferom,0.5749868559275676,0.0,0.1279134219155489,0.12948153449530375,0.11662661177836685,0.3415063861458038,1.0,57027151.0377371,1.0,ok
ska_mid1_interferom,0.5749868559275676,0.01,0.13791342191554892,0.13948153449530376,0.11602880166572498,0.3406300069954568,0.9948741534755555,56835353.060168535,0.9966367252426542,ok
ska_mid1_interferom,0.5749868559275676,0.02,0.1479134219155489,0.14948153449530374,0.1148452912539854,0.3388883167859072,0.9847262944775709,56443657.34493004,0.9897681423288892,ok
ska_mid1_interferom,0.5749868559275676,0.03,0.1579134219155489,0.15948153449530375,0.11321905151426351,0.33648038800837043,0.9707823093533837,55887420.55840667,0.9800142483257454,ok
