entered_mK2,exited_mK2,density_change_mK2,other_response_change_mK2,entered_modes,exited_modes,interpolation_groups_changed,parallel_floor_changed,redshift_weight_change_mK2,telescope,z_before,z_after,variance_before,variance_after,relative_change,abs_log_ratio
0.0013517752623030586,0.0,-0.0003791298152741444,0.001351544216021378,1734451.2653485446,0.0,1702.5158657000625,0.0,1.791541316939634e-06,ska_mid1_interferom,0.3563869481730751,0.3650037837364613,0.019794946260032822,0.022120927464400055,0.11750378979626369,0.11109743881640335
0.0015754358410062755,0.0,-0.0004538575097641622,0.001721134314647238,1882918.4234561007,0.0,1833.0342019575419,0.0,-3.445089056636218e-07,ska_mid1_interferom,0.3650037837364613,0.3750025448430996,0.022120927464400055,0.024963295601383745,0.12849226785621928,0.12088246555168725
0.0016169649818837852,0.0,-0.000463359573629849,0.001898556163021523,1797925.7618230947,0.0,1929.809121375978,0.0,-3.4560172556115163e-07,ska_mid1_interferom,0.3750025448430996,0.3850013702336446,0.024963295601383745,0.02801511157093364,0.12225212641317795,0.11533749345483287
0.0015859631897896108,0.0,-0.00047718776016717087,0.0020839724885856406,1644662.4062893318,0.0,2409.1099617615664,0.0,-3.498109642166092e-07,ska_mid1_interferom,0.3850013702336446,0.3950002550884818,0.02801511157093364,0.031207509678177505,0.11395271795226604,0.1079146971144551
0.0015874450149197315,0.0,-0.0005001426830507661,0.002271915836844,1539587.5802819626,0.0,2242.4640256355356,0.0,-3.505594729743217e-07,ska_mid1_interferom,0.3950002550884818,0.4049991950622724,0.031207509678177505,0.034566377287417495,0.10763010710812171,0.10222269423859454
0.0015976019918147954,0.0,-0.0005285924983258932,0.002464128384297916,1451435.3093192773,0.0,2078.512916052915,0.0,-3.4547203082853956e-07,ska_mid1_interferom,0.4049991950622724,0.4149981862267459,0.034566377287417495,0.038099169693173486,0.10220314314054435,0.0973110341600325
0.0015388846828000274,0.0,-0.000560870847742347,0.002660905541221387,1312895.825457117,0.0,2128.1255459284585,0.0,-3.4589375160032807e-07,ska_mid1_interferom,0.4149981862267459,0.4249972250217319,0.038099169693173486,0.041737743175700955,0.09550269761336608,0.09121334249979658
0.0015730245610524021,0.0,-0.0005898920552850227,0.0028573626321917516,1263034.479823466,0.0,2559.3757722708133,0.0,-3.4751636312792635e-07,ska_mid1_interferom,0.4249972250217319,0.4349963082127737,0.041737743175700955,0.045577890797296954,0.09200659473681537,0.08801691644075561
0.0015595487451501061,0.0,-0.0006140178028834369,0.003060004492610317,1180105.800164379,0.0,2420.4797107890645,0.0,-3.4452624380384724e-07,ska_mid1_interferom,0.4349963082127737,0.4449954328546551,0.045577890797296954,0.049583081705930135,0.08787574059637515,0.08422693290072071
0.0015496734926147265,0.0,-0.0006345894080792851,0.0032661144843228246,1106960.9847769325,0.0,2244.5981572459314,0.0,-3.400197316705594e-07,ska_mid1_interferom,0.4449954328546551,0.4549945962595065,0.049583081705930135,0.053763940255056736,0.08432026419661952,0.080953306057528
0.001516041752016877,0.0,-0.0006531381326549138,0.0034762247929242974,1023973.8530881932,0.0,2307.02794985578,0.0,-3.3920337568392165e-07,ska_mid1_interferom,0.4549945962595065,0.4649937959692968,0.053763940255056736,0.05810272946396731,0.08070072967731359,0.07760965451627441
0.0014960095961349424,0.0,-0.000676375872424354,0.003689040681038046,957024.5010602808,0.0,2689.0466702662625,0.0,-3.378221091037243e-07,ska_mid1_interferom,0.4649937959692968,0.4749930297314835,0.05810272946396731,0.06261106604660684,0.0775925094093109,0.07472939491067318
0.0014874191757284659,0.0,-0.0007086884369007011,0.0039051905173879548,902168.1329780153,0.0,2527.7008141811475,0.0,-3.3232890345016974e-07,ska_mid1_interferom,0.4749930297314835,0.4849922954780549,0.06261106604660684,0.06729465497391912,0.07480449101163497,0.07213877621309962
0.0014907241195994492,0.0,-0.0007467253281333078,0.004124876308257288,858728.6779556144,0.0,2354.551571357116,0.0,-3.3551888773084037e-07,ska_mid1_interferom,0.4849922954780549,0.4949915913066636,0.06729465497391912,0.07216319455475481,0.07234660141615339,0.06984933260780703
0.0014658234283895437,0.0,-0.0007888586793328455,0.004348559018962423,802934.0183708463,0.0,2510.4042001047137,0.0,-3.354944326773728e-07,ska_mid1_interferom,0.4949915913066636,0.5049909154645286,0.07216319455475481,0.07718838282834126,0.06963644423714523,0.06731881899733284
0.001434450851129209,0.0,-0.0008297872039401911,0.004574408261008241,747686.6003130099,0.0,2777.5842017503073,0.0,-3.2834021662016965e-07,ska_mid1_interferom,0.5049909154645286,0.5149902663335991,0.07718838282834126,0.08236712639632189,0.06709226671450817,0.06493744160307212
0.001436088799892639,0.0,-0.0008679805720335574,0.0048021565419540885,713631.2368558347,0.0,2600.6490605104336,0.0,-3.30827668631526e-07,ska_mid1_interferom,0.5149902663335991,0.5249896424181375,0.08236712639632189,0.08773706033846643,0.06519511092697694,0.06315798513014954
0.0014035854603253422,0.0,-0.0009056650521150462,0.005033934946898706,665264.2366741672,0.0,2448.102963462284,0.0,-3.2527702634002483e-07,ska_mid1_interferom,0.5249896424181375,0.5349890423328459,0.08773706033846643,0.09326859041654909,0.06304667670358996,0.06113900874722834
0.001373576434027896,0.0,-0.0009532073601589968,0.005267905732806411,621882.0989957843,0.0,2729.5867873072793,0.0,-3.244229697433286e-07,ska_mid1_interferom,0.5349890423328459,0.5449884647932806,0.09326859041654909,0.09895654080025465,0.06098462899784882,0.05919737224872241
0.0013765398845661603,0.0,-0.0010530660181743469,0.005503728418508916,595818.1647318887,0.0,2798.194259846735,0.0,-3.2113638735619276e-07,ska_mid1_interferom,0.5449884647932806,0.5549879086062155,0.09895654080025465,0.10478342194876802,0.058883234007492506,0.057214799923966435
0.0013612028028088202,0.0,-0.0011949374150758917,0.005740401887665025,563676.4086638435,0.0,2635.1954930503493,0.0,-3.14398020658247e-07,ska_mid1_interferom,0.5549879086062155,0.5649873726621528,0.10478342194876802,0.11068977482614532,0.056367245576930146,0.054835895258648466
0.0013207253895988048,0.0,-0.0013582954105113444,0.0059747138587097565,523883.77699723525,0.0,2573.25322632622,0.0,-3.0688557569430386e-07,ska_mid1_interferom,0.5649873726621528,0.5749868559275676,0.11068977482614532,0.11662661177836685,0.05363491760233686,0.05224601213006214
0.0013437919420721284,0.0,-0.001507093488379484,0.00620419728264488,510917.2765407482,0.0,2887.3635054706606,0.0,-2.993254142117717e-07,ska_mid1_interferom,0.5749868559275676,0.58498635743881,0.11662661177836685,0.12266720818929017,0.05179432308642094,0.050497584826748806
0.0013185941471083261,0.0,-0.0015918922671394682,0.006432937912308444,480894.05690671044,0.0,2831.275480378791,0.0,-2.9140822528968353e-07,ska_mid1_interferom,0.58498635743881,0.5949858762960337,0.12266720818929017,0.1288265565733422,0.05021185755322164,0.048991912915091376
0.001298759953035921,0.0,-0.0016294826044398218,0.006661772437700348,454614.6379955606,0.0,2675.207231801107,0.0,-2.864164634406346e-07,ska_mid1_interferom,0.5949858762960337,0.6049854116579813,0.1288265565733422,0.1351573199431752,0.049141757244973404,0.04797245588471408
0.0012485295804853381,0.0,-0.001633735441357616,0.00689341171886725,419861.9090874366,0.0,2706.7990680395787,0.0,-2.8860490171346937e-07,ska_mid1_interferom,0.6049854116579813,0.6149849627373841,0.1351573199431752,0.14166523719626845,0.04815068289182854,0.04702735694863032
0.0012451412754597739,0.0,-0.0016372126465521854,0.007128077359282924,402783.5517056676,0.0,2985.7188299778654,0.0,-2.8871252291118615e-07,ska_mid1_interferom,0.6149849627373841,0.6249845287963656,0.14166523719626845,0.14840095447193602,0.047546719357379495,0.04645097263806955
0.0012686183733313556,0.0,-0.0016603039699468764,0.00736819832320674,394836.69401174074,0.0,2833.2686503675864,0.0,-2.871640756825169e-07,ska_mid1_interferom,0.6249845287963656,0.6349841091429956,0.14840095447193602,0.15537718003445158,0.047009303864247266,0.045937818061188115
