telescope,z,z_low,z_high,variance_mK2,mode_count,k_min_min,k_min_max,first_node_peak_kperp,first_node_peak_density,first_node_peak_group_fraction
ska_mid1_interferom,0.3563869481730751,0.3499676190476189,0.359967619047619,0.019794946260032822,33137106.920270875,0.22533159252466312,0.22842938350462785,0.2355275694930816,0.0011394520097170444,0.0009075007059351869
ska_mid1_interferom,0.3650037837364613,0.359967619047619,0.369967619047619,0.022120927464400055,34872993.48298894,0.2186145612545524,0.22269164087484958,0.2355275694930816,0.0011625224323304304,0.0008525735565506066
ska_mid1_interferom,0.3750025448430996,0.369967619047619,0.379967619047619,0.024963295601383745,36755666.84965422,0.21186465790946077,0.21573430873730606,0.2355275694930816,0.0011923477440907236,0.0007924173645013454
ska_mid1_interferom,0.3850013702336446,0.379967619047619,0.389967619047619,0.02801511157093364,38553376.869990185,0.2054894791089082,0.2091315444689748,0.2355275694930816,0.0012208863956761683,0.0007410636098032427
ska_mid1_interferom,0.3950002550884818,0.389967619047619,0.399967619047619,0.031207509678177505,40197846.028579354,0.19942427894761444,0.20290311838302758,0.2355275694930816,0.0012499473098685206,0.0006971739302891044
ska_mid1_interferom,0.4049991950622724,0.399967619047619,0.409967619047619,0.034566377287417495,41737261.657579854,0.1937085451417958,0.19699280236130984,0.2355275694930816,0.0012795361944849465,0.0006585482389995824
ska_mid1_interferom,0.4149981862267459,0.409967619047619,0.419967619047619,0.038099169693173486,43188548.28521317,0.1882407933537639,0.1913671134717353,0.2355275694930816,0.0013096587610119995,0.0006247420162333694
ska_mid1_interferom,0.4249972250217319,0.419967619047619,0.429967619047619,0.041737743175700955,44501310.394770265,0.18309260833456284,0.1860950399825572,0.18705830747262708,0.0012459776806091416,0.0005961957344647658
ska_mid1_interferom,0.4349963082127737,0.429967619047619,0.439967619047619,0.045577890797296954,45764222.66648588,0.17812828788983429,0.1809468423066792,0.18598170395593072,0.0012727797340649587,0.0005720236684008988
ska_mid1_interferom,0.4449954328546551,0.439967619047619,0.449967619047619,0.049583081705930135,46944220.61760731,0.17343890132872675,0.17610452024487014,0.1776993888426692,0.001282720241469932,0.0005738169383551091
ska_mid1_interferom,0.4549945962595065,0.449967619047619,0.4599676190476189,0.053763940255056736,48051087.73916202,0.16894038715616375,0.17149447063934112,0.1776993888426692,0.001312114026805748,0.0005510921555659178
ska_mid1_interferom,0.4649937959692968,0.4599676190476189,0.4699676190476189,0.05810272946396731,49074977.58753033,0.16466058685526863,0.1670998667943483,0.16984134571854273,0.0013217248823259615,0.0005527711378332197
ska_mid1_interferom,0.4749930297314835,0.4699676190476189,0.479967619047619,0.06261106604660684,50031927.10707627,0.1605732209326035,0.16291349175367809,0.16357774462618335,0.0013345135272940767,0.0005502042020958808
ska_mid1_interferom,0.4849922954780549,0.479967619047619,0.489967619047619,0.06729465497391912,50934030.30885906,0.15666130747321705,0.15889493909329047,0.16357774462618335,0.0013639616674535771,0.0005320261279972054
ska_mid1_interferom,0.4949915913066636,0.489967619047619,0.499967619047619,0.07216319455475481,51792697.51104042,0.15292517986676105,0.1550572575049074,0.15539360769950608,0.0013701767518532275,0.0005369876271241443
ska_mid1_interferom,0.5049909154645286,0.499967619047619,0.509967619047619,0.07718838282834126,52595574.76314665,0.14933097082747024,0.15136114248477672,0.15539360769950608,0.0013997050857967354,0.0005206951926556459
ska_mid1_interferom,0.5149902663335991,0.509967619047619,0.519967619047619,0.08236712639632189,53343212.58022775,0.1458822875172227,0.14783758980835768,0.14896071427234547,0.0014096282213602327,0.0005224243368257709
ska_mid1_interferom,0.5249896424181375,0.519967619047619,0.529967619047619,0.08773706033846643,54056797.29798575,0.14258968941066466,0.144457527105513,0.14896071427234547,0.0014393743574018193,0.0005080605233759124
ska_mid1_interferom,0.5349890423328459,0.529967619047619,0.539967619047619,0.09326859041654909,54722021.06376678,0.13939942347342596,0.14122414773912925,0.14896071427234547,0.0014695910808911522,0.0004948578281656225
ska_mid1_interferom,0.5449884647932806,0.539967619047619,0.549967619047619,0.09895654080025465,55343865.93135948,0.13636285972501458,0.1381259462198605,0.14896071427234547,0.0015002827453600804,0.0004825273303370959
ska_mid1_interferom,0.5549879086062155,0.549967619047619,0.559967619047619,0.10478342194876802,55939650.106223345,0.13342277744352135,0.1351276433423599,0.13757239137132957,0.001490456828965494,0.0004991391643559799
ska_mid1_interferom,0.5649873726621528,0.559967619047619,0.5699676190476191,0.11068977482614532,56503295.606798165,0.13058569351120292,0.13223603454818234,0.13757239137132957,0.0015206749824886138,0.0004882635185965945
