telescope,z,variance_mK2,mode_count,peak_kperp,peak_density,peak_group_fraction,peak_zero_edge_gap
ska_mid1_interferom,0.3600044031831422,0.02074458122348018,33873264,0.2355275694930816,0.0011563395785140305,0.0008665474000544251,1651.9462305019579
ska_mid1_interferom,0.36025437221080814,0.020814553892841287,33927664,0.2355275694930816,0.0011570825463795304,0.0008647346080476734,1650.6088353487057
ska_mid1_interferom,0.36050434123847414,0.020883507919535593,33980464,0.2355275694930816,0.0011578258798866474,0.000862976589958888,1649.2733776883704
ska_mid1_interferom,0.3607543102661401,0.020961190187297144,34044464,0.2355275694930816,0.0011585695791418678,0.0008608720593816571,1647.939853443387
ska_mid1_interferom,0.361004279293806,0.02102444035398673,34089264,0.2355275694930816,0.0011593136442516747,0.0008593731072056936,1646.6082585475322
ska_mid1_interferom,0.36125424832147196,0.021078052167389106,34121264,0.2355275694930816,0.001160058075322558,0.0008582759598721744,1645.2785889458685
ska_mid1_interferom,0.36150421734913796,0.02115642380128913,34185488,0.2355275694930816,0.0011608028724610052,0.0008561817249021086,1643.9508405947145
ska_mid1_interferom,0.3617541863768039,0.021212850420295318,34220864,0.2355275694930816,0.0011615480357735082,0.0008549870558964813,1642.625009461596
ska_mid1_interferom,0.36200415540446984,0.02128425268836944,34275536,0.2355275694930816,0.0011622935653665615,0.0008531985139822487,1641.3010915252194
ska_mid1_interferom,0.3622541244321358,0.02135583359608331,34330208,0.2355275694930816,0.0011630394613466582,0.0008514153308705628,1639.9790827754293
ska_mid1_interferom,0.3625040934598018,0.021444984078531935,34407392,0.2355275694930816,0.0011637857238202967,0.0008489484786622239,1638.6589792131645
ska_mid1_interferom,0.3627540624874677,0.021497074283995027,34436336,0.2355275694930816,0.0011645323528939745,0.0008479619115228864,1637.3407768504255
ska_mid1_interferom,0.36300403151513366,0.021559249391955845,34478144,0.2355275694930816,0.0011652793486741943,0.0008465844320335795,1636.0244717102294
ska_mid1_interferom,0.36325400054279966,0.021621598713857427,34519952,0.2355275694930816,0.0011660267112674576,0.0008452085778877759,1634.7100598265868
ska_mid1_interferom,0.3635039695704656,0.021694098259724105,34574624,0.2355275694930816,0.0011667744407802688,0.0008434463315138189,1633.3975372444472
ska_mid1_interferom,0.36375393859813154,0.021759269940478367,34619648,0.2355275694930816,0.0011675225373191343,0.0008419797916663122,1632.0869000196717
ska_mid1_interferom,0.3640039076257975,0.02183978303431005,34684160,0.2355275694930816,0.001168271000990562,0.0008399320909560616,1630.7781442189894
ska_mid1_interferom,0.3642538766534635,0.021910453371557642,34735872,0.2355275694930816,0.0011690198319010638,0.0008382763446726939,1629.4712659199615
ska_mid1_interferom,0.3645038456811294,0.021980032382152834,34785968,0.2355275694930816,0.0011697690301571498,0.000836673287932253,1628.1662612109526
